Country,Year,Variable,Unit,Value
Austria,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.358946226
Austria,2012,Fossil Fuel Consumption,Exajoules,0.956636212
Austria,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.523022129
Austria,2012,Carbon Intensity,tonne CO2-eq per Megajoule,43.34237696
Austria,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,64.67926561
Austria,2012,Primary Energy Consumption per Capita,Gigajoules per capita,177.0286402
Austria,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.345379783
Austria,2017,Fossil Fuel Consumption,Exajoules,0.983196872
Austria,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,3.338466719
Austria,2017,Carbon Intensity,tonne CO2-eq per Megajoule,44.32484184
Austria,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,66.57302158
Austria,2017,Primary Energy Consumption per Capita,Gigajoules per capita,170.7229853
Austria,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.366079234
Austria,2022,Fossil Fuel Consumption,Exajoules,0.870834333
Austria,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.868552486
Austria,2022,Carbon Intensity,tonne CO2-eq per Megajoule,42.10002271
Austria,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,57.83395518
Austria,2022,Primary Energy Consumption per Capita,Gigajoules per capita,153.6673675
Azerbaijan,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.018816599
Azerbaijan,1990,Fossil Fuel Consumption,Exajoules,0.92033475
Azerbaijan,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,16.78737578
Azerbaijan,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,98.32730845
Azerbaijan,1990,Carbon Intensity,tonne CO2-eq per Megajoule,104.8282952
Azerbaijan,1990,Primary Energy Consumption per Capita,Gigajoules per capita,126.2796361
Azerbaijan,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.041157108
Azerbaijan,2008,Fossil Fuel Consumption,Exajoules,0.526034958
Azerbaijan,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.852765302
Azerbaijan,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,44.90892289
Azerbaijan,2008,Primary Energy Consumption per Capita,Gigajoules per capita,60.9592077
Azerbaijan,2008,Carbon Intensity,tonne CO2-eq per Megajoule,81.85882105
Azerbaijan,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.033029985
Azerbaijan,2012,Fossil Fuel Consumption,Exajoules,0.526228433
Azerbaijan,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.161035046
Azerbaijan,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,40.7754608
Azerbaijan,2012,Primary Energy Consumption per Capita,Gigajoules per capita,57.37168361
Azerbaijan,2012,Carbon Intensity,tonne CO2-eq per Megajoule,74.92686729
Azerbaijan,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.030345745
Azerbaijan,2017,Fossil Fuel Consumption,Exajoules,0.584056852
Azerbaijan,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.301690375
Azerbaijan,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,41.31219013
Azerbaijan,2017,Primary Energy Consumption per Capita,Gigajoules per capita,59.80550605
Azerbaijan,2017,Carbon Intensity,tonne CO2-eq per Megajoule,68.58671516
Azerbaijan,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.025034385
Azerbaijan,2022,Fossil Fuel Consumption,Exajoules,0.681591264
Azerbaijan,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.534565596
Azerbaijan,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,47.40140123
Azerbaijan,2022,Primary Energy Consumption per Capita,Gigajoules per capita,67.49252974
Azerbaijan,2022,Carbon Intensity,tonne CO2-eq per Megajoule,67.80417936
Bangladesh,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.035392714
Bangladesh,1990,Fossil Fuel Consumption,Exajoules,0.256472726
Bangladesh,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,1.656127026
Bangladesh,1990,Primary Energy Consumption per Capita,Gigajoules per capita,2.481464096
Bangladesh,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,14.56257913
Bangladesh,1990,Carbon Intensity,tonne CO2-eq per Megajoule,54.77061884
Bangladesh,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.012238175
Bangladesh,2008,Fossil Fuel Consumption,Exajoules,0.790448525
Bangladesh,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.025334912
Bangladesh,2008,Primary Energy Consumption per Capita,Gigajoules per capita,5.502921014
Bangladesh,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,51.10133626
Bangladesh,2008,Carbon Intensity,tonne CO2-eq per Megajoule,63.85735134
Bangladesh,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.008133144
Bangladesh,2012,Fossil Fuel Consumption,Exajoules,1.052556487
Bangladesh,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.135512652
Bangladesh,2012,Primary Energy Consumption per Capita,Gigajoules per capita,6.977334082
Bangladesh,2012,Carbon Intensity,tonne CO2-eq per Megajoule,65.93451499
Bangladesh,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,69.96886835
Bangladesh,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.008523627
Bangladesh,2017,Fossil Fuel Consumption,Exajoules,1.440335509
Bangladesh,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,2.137212961
Bangladesh,2017,Primary Energy Consumption per Capita,Gigajoules per capita,8.978814161
Bangladesh,2017,Carbon Intensity,tonne CO2-eq per Megajoule,69.11745731
Bangladesh,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,100.4081699
Bangladesh,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.007543987
Bangladesh,2022,Fossil Fuel Consumption,Exajoules,1.781071956
Bangladesh,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,1.922092901
Bangladesh,2022,Primary Energy Consumption per Capita,Gigajoules per capita,10.48337232
Bangladesh,2022,Carbon Intensity,tonne CO2-eq per Megajoule,69.60104191
Bangladesh,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,124.9067588
Belarus,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.000126917
Belarus,1990,Fossil Fuel Consumption,Exajoules,1.677288102
Belarus,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,18.80516585
Belarus,1990,Carbon Intensity,tonne CO2-eq per Megajoule,57.01355573
Belarus,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,95.64029706
Belarus,1990,Primary Energy Consumption per Capita,Gigajoules per capita,160.8569769
Belarus,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.001004377
Belarus,2008,Fossil Fuel Consumption,Exajoules,1.074095957
Belarus,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,7.194054059
Belarus,2008,Carbon Intensity,tonne CO2-eq per Megajoule,60.02764543
Belarus,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,64.54027403
Belarus,2008,Primary Energy Consumption per Capita,Gigajoules per capita,109.8482788
Belarus,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.00263235
Belarus,2012,Fossil Fuel Consumption,Exajoules,1.167988369
Belarus,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,6.747235088
Belarus,2012,Carbon Intensity,tonne CO2-eq per Megajoule,55.14327217
Belarus,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,64.576689
Belarus,2012,Primary Energy Consumption per Capita,Gigajoules per capita,120.8068249
Belarus,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.007627388
Belarus,2017,Fossil Fuel Consumption,Exajoules,0.992697723
Belarus,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,5.851316492
Belarus,2017,Carbon Intensity,tonne CO2-eq per Megajoule,59.30258814
Belarus,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,59.32201623
Belarus,2017,Primary Energy Consumption per Capita,Gigajoules per capita,103.0428911
Belarus,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.010468703
Belarus,2022,Fossil Fuel Consumption,Exajoules,1.015775461
Belarus,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,6.164349992
Belarus,2022,Carbon Intensity,tonne CO2-eq per Megajoule,55.32153913
Belarus,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,59.11969636
Belarus,2022,Primary Energy Consumption per Capita,Gigajoules per capita,112.0777331
Belgium,1990,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.002747972
Belgium,1990,Fossil Fuel Consumption,Exajoules,1.794315091
Belgium,1990,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,6.76377754
Belgium,1990,Carbon Intensity,tonne CO2-eq per Megajoule,57.96339932
Belgium,1990,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,129.6565591
Belgium,1990,Primary Energy Consumption per Capita,Gigajoules per capita,224.5952113
Belgium,2008,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.017643936
Belgium,2008,Fossil Fuel Consumption,Exajoules,2.30101908
Belgium,2008,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,5.763042454
Belgium,2008,Carbon Intensity,tonne CO2-eq per Megajoule,50.90629089
Belgium,2008,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,142.1630681
Belgium,2008,Primary Energy Consumption per Capita,Gigajoules per capita,260.3445858
Belgium,2012,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.051477052
Belgium,2012,Fossil Fuel Consumption,Exajoules,1.957117018
Belgium,2012,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.92803528
Belgium,2012,Carbon Intensity,tonne CO2-eq per Megajoule,48.23027988
Belgium,2012,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,118.9226167
Belgium,2012,Primary Energy Consumption per Capita,Gigajoules per capita,223.5240604
Belgium,2017,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.070612066
Belgium,2017,Fossil Fuel Consumption,Exajoules,2.007549783
Belgium,2017,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.807990458
Belgium,2017,Carbon Intensity,tonne CO2-eq per Megajoule,47.01702506
Belgium,2017,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,121.1998654
Belgium,2017,Primary Energy Consumption per Capita,Gigajoules per capita,226.4297105
Belgium,2022,Primary Renewable Energy Consumption,Share of Total Primary Energy Consumption,0.106857266
Belgium,2022,Fossil Fuel Consumption,Exajoules,1.794655044
Belgium,2022,Economy-wide Primary Energy Intensity,Megajoules per $ GDP,4.245560675
Belgium,2022,Carbon Intensity,tonne CO2-eq per Megajoule,45.2687828
Belgium,2022,Energy Related Greenhouse Gas Emissions,Million tonnes of carbon dioxide equivalent,110.9250908
Belgium,2022,Primary Energy Consumption per Capita,Gigajoules per capita,210.224847
